,Kafka,,RabbitMQ,,
,time,average,time,average,size
0,1.12526106834412,1.12526106834412,0.107293128967285,0.107293128967285,772893
1,2.45987129211426,1.79256618022919,0.190935850143433,0.149114489555359,768819
2,2.4602746963501,2.01513568560282,0.275391578674316,0.191206852595011,769679
3,2.4656035900116,2.12775266170502,0.359611749649048,0.23330807685852,772472
4,2.4661078453064,2.19542369842529,0.444483757019043,0.275543212890625,773356
5,2.46685338020325,2.24066197872162,0.529491186141968,0.317867875099182,773206
6,2.46711230278015,2.27301202501569,0.614351272583008,0.3602226461683,770166
7,2.46761751174927,2.29733771085739,0.698933839797974,0.402561545372009,770350
8,2.46802258491516,2.31630269686381,0.782989978790283,0.444831371307373,769957
9,2.46826124191284,2.33149855136871,0.867135286331177,0.487061762809754,769497
10,2.46881818771362,2.3439821546728,0.9516441822052,0.529296528209339,768922
11,2.4688720703125,2.35438964764277,1.03616690635681,0.571535726388295,769108
12,2.46914863586426,2.36321726212135,1.12038040161133,0.613754547559298,769485
13,2.46975517272949,2.37082711287907,1.2046332359314,0.655960168157305,769539
14,2.46985125541687,2.37742872238159,1.28889226913452,0.698155641555786,769572
15,2.47087669372559,2.38326922059059,1.37343525886536,0.740360617637634,769590
16,3.76072859764099,2.46429624277003,1.45803594589233,0.782576813417322,769411
17,3.7609875202179,2.53633464707269,1.54244565963745,0.824791749318441,769411
18,3.76608085632324,2.60105813177008,1.62728071212769,0.867028010518927,769411
19,3.76612162590027,2.65931130647659,1.7111177444458,0.909232497215271,769411
20,3.76619625091553,2.71202011335464,1.8035364151001,0.951818398066929,769100
21,3.76604223251343,2.75993020968004,1.88830280303955,0.99438587102023,768849
22,3.76587200164795,2.80366680933082,1.97279167175293,1.03692525366078,769107
23,3.76554608345032,2.84374511241913,2.05734729766846,1.07944283882777,768289
24,3.76540040969849,2.8806113243103,2.13942265510559,1.12184203147888,748371
25,3.76525735855103,2.9146361717811,2.21892213821411,1.16403742019947,728975
26,3.76538586616516,2.94614541972125,2.29699659347534,1.20599887106154,724416
27,3.76532554626465,2.97540185281209,2.37423849105835,1.24772171463285,718234
28,3.76521563529968,3.0026368108289,2.45294404029846,1.28928110517305,726939
29,3.76510763168335,3.02805250485738,2.52839779853821,1.33058499495188,706601
30,3.76585149765015,3.05185247236683,2.60617208480835,1.37173296559242,706201
31,5.0715823173523,3.11496903002262,2.68299126625061,1.41270978748798,701492
32,5.07171320915222,3.17426430817806,2.76215219497681,1.45360198165431,717833
33,5.07692527770996,3.230224924929,2.83947777748108,1.49436303447275,704317
34,5.07716131210327,3.28299453599112,2.91703963279724,1.53501093728202,703491
35,5.07733392715454,3.33283729685677,2.99387693405151,1.57553499274784,698278
36,5.0773229598999,3.3799855580201,3.07116842269897,1.61595751788165,706059
37,5.07727003097534,3.42465093888734,3.14737224578857,1.65625790545815,692459
38,5.07716774940491,3.46702316479805,3.22469043731689,1.69647412422376,701737
39,5.07706165313721,3.50727412700653,3.30138206481934,1.73659682273865,699754
40,5.07703638076782,3.54556101124461,3.37946963310242,1.77666689128411,715570
41,5.07698369026184,3.58202345598312,3.45671606063843,1.81666806198302,703251
42,5.07692837715149,3.61678868670796,3.53366470336914,1.85659821643386,700652
43,5.07703065872192,3.64997600425373,3.61009097099304,1.89645032449202,695196
44,5.07696843147278,3.68168694708082,3.68740677833557,1.93624935679966,704662
45,5.07689142227173,3.71201747915019,3.76365113258362,1.97597548236018,694164
46,5.07703852653503,3.74106048015838,3.83986043930054,2.01563260910359,694080
47,6.37470197677612,3.79592801133792,3.91589093208313,2.05522132416566,689291
